StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,training_clear,training_unclear,training_gramm,training_pragm,exp1_indef,exp2_bare,filler1_clear,filler2_clear,filler3_uncertain,exp3_bare,exp4_indef,filler5_clear,filler5_uncertain,filler6_uncertain,exp5_bare,exp6_indef,filler7_clear,filler8_clear,filler9_uncertain,exp7_bare,exp8_indef,filler14_clear,filler15_uncertain,filler16_uncertain,exp9_bare,exp10_indef,filler13_clear,filler14_clear,filler15_uncertain,exp11_bare,exp12_indef,filler16_clear,filler17_uncertain,filler18_uncertain,exp13_bare,exp14_indef,filler19_clear,filler20_clear,filler21_uncertain,exp15_bare,exp16_indef,filler22_clear,filler23_clear,filler24_uncertain,exp1_bare,exp2_indef,exp3_indef,"exp4_bare ",exp5_indef,exp6_bare,exp7_indef,"exp8_bare ","exp9_indef ","exp10_bare ",exp11_indef,exp12_bare,exp13_indef,exp14_bare,exp15_indef,"exp16_bare ",language_household,"language_today ",ReactionTime_exp1_bare,ReactionTime_exp1_indef,ReactionTime_exp2_bare,ReactionTime_exp2_indef,ReactionTime_exp3_bare,ReactionTime_exp3_indef,ReactionTime_exp4_bare,ReactionTime_exp4_indef,ReactionTime_exp5_bare,ReactionTime_exp5_indef,ReactionTime_exp6_bare,ReactionTime_exp6_indef,ReactionTime_exp7_bare,ReactionTime_exp7_indef,ReactionTime_exp8_bare,ReactionTime_exp8_indef,ReactionTime_exp9_bare,ReactionTime_exp9_indef,ReactionTime_exp10_bare,ReactionTime_exp10_indef,ReactionTime_exp11_bare,ReactionTime_exp11_indef,ReactionTime_exp12_bare,ReactionTime_exp12_indef,ReactionTime_exp13_bare,ReactionTime_exp13_indef,ReactionTime_exp14_bare,ReactionTime_exp14_indef,ReactionTime_exp15_bare,ReactionTime_exp15_indef,ReactionTime_exp16_bare,ReactionTime_exp16_indef,Create New Field or Choose From Dropdown...
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Контексты будут выглядеть примерно так: 



Аня разобрала свои книги. Она поставила все художественные книги на верхнюю полку книжного шкафа, а все остальные книги на нижнюю полку. Потом она нашла еще одну книгу-биографию, которую она недавно купила, и поставила ее на нижнюю полку. 

Что лучше подходит к этому контексту?","Вот еще один контекст: 


Эля организовала поездку для своей компании за город. Она запланировала несколько мероприятий на свежем воздухе, в том числе, прогулку по парку и игры для тим-билдинга (чтобы помочь сотрудникам лучше узнать друг друга). Прогноз погоды обещал небольшой дождь с утра. Несмотря на это, когда они выехали, небо было чистое. Но после обеда, команда все же решила отменить одно из мероприятий на свежем воздухе из-за погодных условий.


Здесь не указано прямо, что именно отменили. Можете ли вы догадаться? 


Что наиболее подходит к контексту?","Давайте посмотрим на еще один пример контекста: 





Дима собрался на пикник с друзьями. Они упаковали еду и напитки, а потом Дима посмотрел прогноз погоды, чтобы проверить, не будет ли дождя. Прогноз был хороший, так что друзья выехали из дома. Когда ребята добрались до парка, Дима вспомнил, что он забыл плед, чтобы сидеть на траве.



Что наиболее подходит к данному контексту?","Последний пример и перейдем к основному опросу! Прочитайте этот контекст:



Света готовилась к важной презентации на работе. Она подготовила слайды и много раз прорепетировала доклад. Но когда она зашла в зал для презентаций, она обнаружила, что проектор не работает. Двое коллег Светы, Иван и Олег, были в зале в этот момент и увидели, что проектор не работает. Олег предложил помочь и устранил проблему. Света была рада, что проектор починил Олег.



Здесь выбор может быть неочевиден, но возможно, вы можете догадаться, какой вариант более вероятен?","Ваня пошел в магазин и купил яблоки и конфеты. Он принес покупки домой. Потом он проголодался и съел какие-то яблоки. 



Что лучше подходит к этому контексту?","Рано утром Соня пошла в сад и собрала свежие розы и тюльпаны для своего цветочного магазина. Она принесла цветы в магазин. Перед открытием она поставила розы в вазу.

Что лучше подходит к этому контексту?","Вчера Леша испек два пирога: с яблоками и со сливами. Леша пошел в гости к друзьям и взял пирог со сливами, а пирог с яблоками оставил дома.


Что лучше подходит к этому контексту?","Маша и Леня ехали на машине в отпуск. По дороге они остановились в кафе и на заправке. Они заправили машину перед тем, как пообедать.


Что лучше подходит к этому контексту?","В субботу Лена посетила картинную галерею и музей науки. В разговоре с друзьями она упомянула, как ее вдохновило творчество одного из художников.
 
Что лучше подходит к этому контексту?","Иван заказал тарелки и бокалы онлайн. Когда доставка приехала, он принес покупки на кухню. Позже он помыл тарелки.


Что лучше подходит к этому контексту?","Наталья собрала помидоры и огурцы со своего огорода. Она положила их на кухонный стол. Позже она готовила салат. Она положила какие-то помидоры в него.


Что лучше подходит к этому контексту?","Ольга заняла у соседки столы и стулья для праздника. После того, как она накрыла на стол, она украсила столы цветами.


Что лучше подходит к этому контексту?","Дима купил кофе и чай. После обеда, он заварил себе бодрящий напиток.


Что лучше подходит к этому контексту?","Борис заказал на ужин в доставке салат и пиццу. Когда он открыл пакет, он сначала взял коробку, которая сильно пахла чесноком.


Что лучше подходит к этому контексту?","Учительница собрала тетради и папки у класса. Она оставила их на своем столе. Позже она разложила папки по ящикам.


Что лучше подходит к этому контексту?","Карина постирала шарфы и варежки. Она положила их в комод. На следующий день похолодало, и Карина надела какие-то варежки.


Что лучше подходит к этому контексту?","Даня решил пожертвовать книги и журналы в библиотеку. Библиотекарь очень его благодарила за книги. 
 
Что лучше подходит к этому контексту?","Галина помыла окна в доме. Теперь окна сияют на солнце.


Что лучше подходит к этому контексту?","Коля купил билеты в кино и в Большой театр. Вечером он надел шорты и футболку и вышел из дома.


Что лучше подходит к этому контексту?","Ася взяла в библиотеке книги и DVD-диски. На следующий день, она снова пришла в библиотеку и вернула книги.
 
Что лучше подходит к этому контексту?","Катя собрала осенние листья и цветы, чтобы использовать их в качестве натуры для рисования. Вечером она нарисовала какие-то листья акварелью. 

Что лучше подходит к этому контексту?","Надя купила два подарка для своих племянников: игрушечную машинку и пазл. Она подарила игрушечную машинку младшему племяннику, а пазл оставила для старшего.


Что лучше подходит к этому контексту?","Рома выбирал между комедией и триллером, чтобы посмотреть вечером. Он решил посмотреть комедию, потому что она короче.


Что лучше подходит к этому контексту?","Иван положил свои ноутбук и планшет на стол. Когда он вернулся, один из девайсов был открыт и играл музыку.


Что лучше подходит к этому контексту?","Лена купила клубнику и персики на рынке. Она поставила покупки в холодильник. На ужин Лена приготовила лазанью. После ужина, Лена съела персики. 

Что лучше подходит к этому контексту?","Олег занял у соседа инструменты: гвозди и молоток. Он положил их на скамейку возле дома. На следующий день, он использовал какие-то гвозди в работе.

Что лучше подходит к этому контексту?","Олег прочитал две статьи в научно-популярном журнале. Одна статья была про первое путешествие на Луну, а вторая была про освоение Марса. Статья про освоение Марса ему показалась более интересной, и Олег провел больше времени за ее чтением.

Что лучше подходит к этому контексту?","Маша составила два букета: один из ромашек, а другой из лилий. Она поставила букет из лилий в гостиной, а букет из ромашек на обеденный стол.



Что лучше подходит к этому контексту?","Мила репетировала два произведения для фортепиано: сонату и этюд. Она провела все утро за сонатой, а к этюду приступила после обеда.

Что лучше подходит к этому контексту?","Алексей провел мастер-класс для школьников по роботостроению и программированию. Ребята сделали маленьких роботов и написали несколько простых программ. В конце урока Алексей продемонстировал роботов классу.

Что лучше подходит к этому контексту?","Алина провела мастер-класс по лепке. Во время урока, ребята сделали подсвечники и вазы. Алина также показала, как раскрашивать изделия. В конце урока ребята раскрасили какие-то подсвечники.

Что лучше подходит к этому контексту?","На выходных Аня разобрала шкаф. Она решила отдать все ненужные вещи на пожертвования, а потом разложила обувь по коробкам.

Что лучше подходит к этому контексту?","Света решила приготовить на ужин плов и салат. В середине готовки она осознала, что у нее не хватает ингредиентов для салата, так что решила подавать только плов.

Что лучше подходит к этому контексту?","Андрей покрасил две стены в своем доме: одну в зеленый цвет, а другую в белый. Зеленая стена была на кухне, а белая стена - часть интерьера гостиной.

Что лучше подходит к этому контексту?","На прошлой неделе Олег купил подушки и одеяла. Его жена проводила большую стирку и постирала одеяла.

Что лучше подходит к этому контексту?","Марина испекла печенья и кексы для вечеринки. Еще она упаковала какие-то печенья в красивую коробочку для своей подруги Нины, у которой был день рождения.

Что лучше подходит к этому контексту?","Арина и ее друзья заказали суши и пиццу. Так как пицца была еще горячая, ребята решили начать с нее, а суши оставить на потом.

Что лучше подходит к этому контексту?","Леня занес свои два велосипеда, синий и красный, в гараж. Синий велосипед он поставил возле входа, потому что он ездит на нем чаще.

Что лучше подходит к этому контексту?","Костя убрал две комнаты, спальню и гостиную. Сначала он пропылесосил гостиную.

Что лучше подходит к этому контексту?","Яна собрала кабачки и помидоры с огорода. Она положила овощи в кухонный шкаф. Когда она проголодалась, она приготовила кабачки. 
Что лучше подходит к этому контексту?","Оля купила свечи и картины для своей комнаты. Она украсила ими комнату и осталась довольна результатом. Вечером ей захотелось романтичной атмосферы, и Оля зажгла какие-то свечи.

Что лучше подходит к этому контексту?","Соня привезла с пляжа ракушки и камни. Когда она приехала домой, она поставила ракушки на полку.

Что лучше подходит к этому контексту?","Маша разобрала куртки и шарфы в своем шкафе. Позже она отнесла куртки своей сестре.

Что лучше подходит к этому контексту?","Катя испекла печенья и кексы для вечеринки. В этот вечер гости похвалили печенья.

Что лучше подходит к этому контексту?","Ваня пошел в магазин и купил яблоки и конфеты. Он принес покупки домой. Потом он проголодался и съел яблоки. 

Что лучше подходит к этому контексту?","Рано утром Соня пошла в сад и собрала свежие розы и тюльпаны для своего цветочного магазина. Она принесла цветы в магазин. Перед открытием она поставила какие-то розы в вазу.

Что лучше подходит к этому контексту?","Иван заказал тарелки и бокалы онлайн. Когда доставка приехала, он принес покупки на кухню. Позже он помыл какие-то тарелки.


Что лучше подходит к этому контексту?","Наталья собрала помидоры и огурцы со своего огорода. Она положила их на кухонный стол. Позже она готовила салат и положила помидоры в него.


Что лучше подходит к этому контексту?","Учительница собрала тетради и папки у класса. Она оставила их на своем столе. Позже, она разложила какие-то папки по ящикам.


Что лучше подходит к этому контексту?","Карина постирала шарфы и варежки. Она положила их в комод. На следующий день похолодало, и Карина надела варежки.


Что лучше подходит к этому контексту?","Ася взяла в библиотеке книги и DVD-диски. На следующий день, она снова пришла в библиотеку и вернула какие-то книги.
 
Что лучше подходит к этому контексту?","Катя собрала осенние листья и цветы, чтобы использовать их в качестве натуры для рисования. Вечером она нарисовала листья акварелью. 

Что лучше подходит к этому контексту?","Лена купила клубнику и персики на рынке. Она поставила покупки в холодильник. На ужин она приготовила лазанью. После ужина, Лена съела какие-то персики. 

Что лучше подходит к этому контексту?","Олег занял у соседа инструменты: гвозди и молоток. Он положил их на скамейку возле дома. На следующий день, он использовал гвозди в работе.

Что лучше подходит к этому контексту?","Алексей провел мастер-класс для школьников по роботостроению и программированию. Ребята сделали маленьких роботов и написали несколько простых программ. В конце урока Алексей продемонстировал каких-то роботов классу.

Что лучше подходит к этому контексту?","Алина провела мастер-класс по лепке. Во время урока, ребята сделали подсвечники и вазы. Алина также показала, как раскрашивать изделия. В конце урока ребята раскрасили подсвечники.

Что лучше подходит к этому контексту?","На прошлой неделе Олег купил подушки и одеяла. Его жена проводила большую стирку и постирала какие-то одеяла.

Что лучше подходит к этому контексту?","Марина испекла печенья и кексы для вечеринки. Еще она упаковала печенья в красивую коробочку для своей подруги Нины, у которой был день рождения.

Что лучше подходит к этому контексту?","Яна собрала кабачки и помидоры с огорода. Она положила овощи в кухонный шкаф. Когда она проголодалась, она приготовила какие-то кабачки. 

Что лучше подходит к этому контексту?","Оля купила свечи и картины для своей комнаты. Она украсила ими комнату и осталась довольна результатом. Вечером ей захотелось романтичной атмосферы, и Оля зажгла свечи.

Что лучше подходит к этому контексту?",На каком языке с вами разговаривали ваши родители в детстве?,На каком языке вы сейчас общаетесь дома?,ReactionTime_exp1_bare,ReactionTime_exp1_indef,ReactionTime_exp2_bare,ReactionTime_exp2_indef,ReactionTime_exp3_bare,ReactionTime_exp3_indef,ReactionTime_exp4_bare,ReactionTime_exp4_indef,ReactionTime_exp5_bare,ReactionTime_exp5_indef,ReactionTime_exp6_bare,ReactionTime_exp6_indef,ReactionTime_exp7_bare,ReactionTime_exp7_indef,ReactionTime_exp8_bare,ReactionTime_exp8_indef,ReactionTime_exp9_bare,ReactionTime_exp9_indef,ReactionTime_exp10_bare,ReactionTime_exp10_indef,ReactionTime_exp11_bare,ReactionTime_exp11_indef,ReactionTime_exp12_bare,ReactionTime_exp12_indef,ReactionTime_exp13_bare,ReactionTime_exp13_indef,ReactionTime_exp14_bare,ReactionTime_exp14_indef,ReactionTime_exp15_bare,ReactionTime_exp15_indef,ReactionTime_exp16_bare,ReactionTime_exp16_indef,Create New Field or Choose From Dropdown...
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID116""}","{""ImportId"":""QID117""}","{""ImportId"":""QID169""}","{""ImportId"":""QID171""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID21""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID45""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID69""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95""}","{""ImportId"":""QID97""}","{""ImportId"":""QID104""}","{""ImportId"":""QID105""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108""}","{""ImportId"":""QID121""}","{""ImportId"":""QID122""}","{""ImportId"":""QID127""}","{""ImportId"":""QID128""}","{""ImportId"":""QID133""}","{""ImportId"":""QID134""}","{""ImportId"":""QID139""}","{""ImportId"":""QID140""}","{""ImportId"":""QID145""}","{""ImportId"":""QID146""}","{""ImportId"":""QID151""}","{""ImportId"":""QID152""}","{""ImportId"":""QID157""}","{""ImportId"":""QID158""}","{""ImportId"":""QID163""}","{""ImportId"":""QID164""}","{""ImportId"":""QID174""}","{""ImportId"":""QID175""}","{""ImportId"":""ReactionTime_exp1_bare""}","{""ImportId"":""ReactionTime_exp1_indef""}","{""ImportId"":""ReactionTime_exp2_bare""}","{""ImportId"":""ReactionTime_exp2_indef""}","{""ImportId"":""ReactionTime_exp3_bare""}","{""ImportId"":""ReactionTime_exp3_indef""}","{""ImportId"":""ReactionTime_exp4_bare""}","{""ImportId"":""ReactionTime_exp4_indef""}","{""ImportId"":""ReactionTime_exp5_bare""}","{""ImportId"":""ReactionTime_exp5_indef""}","{""ImportId"":""ReactionTime_exp6_bare""}","{""ImportId"":""ReactionTime_exp6_indef""}","{""ImportId"":""ReactionTime_exp7_bare""}","{""ImportId"":""ReactionTime_exp7_indef""}","{""ImportId"":""ReactionTime_exp8_bare""}","{""ImportId"":""ReactionTime_exp8_indef""}","{""ImportId"":""ReactionTime_exp9_bare""}","{""ImportId"":""ReactionTime_exp9_indef""}","{""ImportId"":""ReactionTime_exp10_bare""}","{""ImportId"":""ReactionTime_exp10_indef""}","{""ImportId"":""ReactionTime_exp11_bare""}","{""ImportId"":""ReactionTime_exp11_indef""}","{""ImportId"":""ReactionTime_exp12_bare""}","{""ImportId"":""ReactionTime_exp12_indef""}","{""ImportId"":""ReactionTime_exp13_bare""}","{""ImportId"":""ReactionTime_exp13_indef""}","{""ImportId"":""ReactionTime_exp14_bare""}","{""ImportId"":""ReactionTime_exp14_indef""}","{""ImportId"":""ReactionTime_exp15_bare""}","{""ImportId"":""ReactionTime_exp15_indef""}","{""ImportId"":""ReactionTime_exp16_bare""}","{""ImportId"":""ReactionTime_exp16_indef""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}"
2024-12-10 14:14:20,2024-12-10 14:16:04,Survey Preview,,100,104,True,2024-12-10 14:16:05,R_3HpeRGcfcgIT7ZD,,,,,42.3737,-71.1284,preview,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила прогулку в парке.,,,Ваня съел другие яблоки.,"Соня поставила в вазу другие розы, которые уже были у нее в магазине.",Леша не взял с собой пирог со сливами.,Сначала Маша и Леня заехали в кафе.,Лене не понравился музей науки.,"Иван помыл другие тарелки, которые уже были у него на кухне.","Наталья положила в салат помидоры, которые она перед этим собрала в огороде.",Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с салата.,"Учительница разложила другие папки, которые лежали у нее на столе.","Карина надела другие варежки, которые у нее были.",Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в Большой театр.,"Ася вернула другие книги, которые пора было сдавать.","Катя нарисовала листья, которые она собрала днем.",Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на ноутбуке.,"Лена съела другие персики, которые у нее были.",Олег использовал другие гвозди.,Олег провел меньше времени за чтением статьи про освоение Марса.,Цветы в гостиной - ромашки.,Соната у Милы получается лучше.,"Алексей продемонстрировал роботов, которые ребята сделали на мастер-классе.","Ребята раскрасили другие подсвечники, которые были в мастерской.",Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет белых стен.,Жена постирала другие одеяла.,"Марина упаковала печенья, которые она испекла.",Друзья сначала съели суши.,Леня поставил красный велосипед у входа.,Костя не пропылесосил спальню.,Яна приготовила другие кабачки.,"Оля зажгла свечи, которые она купила в этот день.",Соня выставила ракушки.,Маша пошла и купила еще шарфов.,Гостям не понравились кексы.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-10 14:32:37,2024-12-10 14:49:19,IP Address,51.158.61.224,100,1002,True,2024-12-10 14:49:20,R_80NyzB4IPrJDp3p,,,,,48.8323,2.4075,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила прогулку в парке.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ваня съел те яблоки, которые он купил.","Соня поставила в вазу другие розы, которые уже были у нее в магазине.","Иван помыл другие тарелки, которые уже были у него на кухне.","Наталья положила в салат помидоры, которые она перед этим собрала в огороде.","Учительница разложила другие папки, которые лежали у нее на столе.",Карина надела варежки которые она вчера постирала.,"Ася вернула другие книги, которые пора было сдавать.","Катя нарисовала листья, которые она собрала днем.","Лена съела персики, которые она купила на рынке.","Олег использовал гвозди, которые он занял у соседа.","Алексей продемонстрировал роботов, которые ребята сделали на мастер-классе.","Ребята раскрасили подсвечники, которые они сделали на мастер-классе.",Жена постирала другие одеяла.,Марина упаковала другие печенья.,Яна приготовила другие кабачки.,"Оля зажгла свечи, которые она купила в этот день.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-10 14:35:19,2024-12-10 14:53:39,IP Address,51.158.253.116,100,1099,True,2024-12-10 14:53:39,R_8lfduz28mojE3NT,,,,,48.8323,2.4075,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила прогулку в парке.,,,"Ваня съел те яблоки, которые он купил.","Соня поставила в вазу розы, которые она собрала рано утром.",Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,"Иван помыл тарелки, которые он заказал.","Наталья положила в салат помидоры, которые она перед этим собрала в огороде.",Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с салата.,"Учительница разложила папки, которые она собрала у класса.",Карина надела варежки которые она вчера постирала.,Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,"Ася вернула книги, которые она взяла накануне.","Катя нарисовала листья, которые она собрала днем.",Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на ноутбуке.,"Лена съела персики, которые она купила на рынке",Олег использовал другие гвозди.,Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Этюд у Милы получается лучше.,"Алексей продемонстрировал роботов, которые ребята сделали на мастер-классе.","Ребята раскрасили другие подсвечники, которые были в мастерской.",Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,"Жена постирала одеяла, которые купил Олег.",Марина упаковала другие печенья.,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил кухню.,"Яна приготовила кабачки, которые она собрала с огорода.","Оля зажгла другие свечи, которые у нее уже были.",Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-11 13:42:10,2024-12-11 13:57:37,IP Address,188.26.214.207,100,926,True,2024-12-11 13:57:37,R_8tFGTOXZbSaGRFp,,,,,41.4044,2.1754,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила прогулку в парке.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ваня съел те яблоки, которые он купил.","Соня поставила в вазу другие розы, которые уже были у нее в магазине.","Иван помыл другие тарелки, которые уже были у него на кухне.","Наталья положила в салат помидоры, которые она перед этим собрала в огороде.","Учительница разложила другие папки, которые лежали у нее на столе.",Карина надела варежки которые она вчера постирала.,"Ася вернула книги, которые она взяла накануне.","Катя нарисовала листья, которые она собрала днем.","Лена съела персики, которые она купила на рынке.","Олег использовал гвозди, которые он занял у соседа.","Алексей продемонстрировал роботов, которые ребята сделали на мастер-классе.","Ребята раскрасили подсвечники, которые они сделали на мастер-классе.",Жена постирала другие одеяла.,Марина упаковала другие печенья.,Яна приготовила другие кабачки.,"Оля зажгла свечи, которые она купила в этот день.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-11 14:40:09,2024-12-11 15:09:05,IP Address,51.158.200.200,100,1735,True,2024-12-11 15:09:06,R_20K2jnNHX6dPUJj,,,,,48.8323,2.4075,anonymous,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила игры.,,,"Ваня съел те яблоки, которые он купил.","Соня поставила в вазу розы, которые она собрала рано утром.",Леша не взял с собой пирог с яблоками.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,"Иван помыл тарелки, которые он заказал.","Наталья положила в салат помидоры, которые она перед этим собрала в огороде.",Ольга украсила столы.,Дима заварил кофе.,Борис решил начать с салата.,"Учительница разложила папки, которые она собрала у класса.","Карина надела другие варежки, которые у нее были.",Библиотекарь поблагодарила Даню.,Окна были чистые и сияющие.,Коля пошел в кино.,"Ася вернула другие книги, которые пора было сдавать.","Катя нарисовала листья, которые она собрала днем.",Старший племянник получил пазл.,Рома предпочитает недлинные фильмы.,Музыка играла на ноутбуке.,"Лена съела персики, которые она купила на рынке","Олег использовал гвозди, которые он занял у соседа.",Олег провел меньше времени за чтением статьи про первое путешествие на Луну.,Цветы в гостиной - лилии.,Этюд у Милы получается лучше.,"Алексей продемонстрировал роботов, которые ребята сделали на мастер-классе.","Ребята раскрасили подсвечники, которые они сделали на мастер-классе.",Аня разложила обувь по коробкам.,У Светы не было достаточно овощей.,В гостиной нет зеленых стен.,Жена постирала другие одеяла.,Марина упаковала другие печенья.,Друзья сначала съели пиццу.,Леня поставил синий велосипед у входа.,Костя не пропылесосил кухню.,"Яна приготовила кабачки, которые она собрала с огорода.","Оля зажгла свечи, которые она купила в этот день.",Соня выставила ракушки.,Маша отдала куртки.,Гости не похвалили кексы.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-13 14:12:43,2024-12-13 14:18:48,Survey Preview,,100,364,True,2024-12-13 14:18:48,R_3YueiBGt64TKP2J,,,,,42.3737,-71.1284,preview,EN,"Аня поставила биографию на нижнюю полку. ",Команда отменила игры.,"Дима вспомнил, что он забыл плед в своем доме.","Света не думает, что Олег чинит проекторы лучше, чем Иван.",,,Леша не взял с собой пирог со сливами.,Сначала Маша и Леня заехали на заправку.,Лене не понравился музей науки.,,,Ольга покрасила стулья.,Дима заварил чай.,Борис решил начать с пиццы.,,,Библиотекарь поблагодарила Даню.,"Галина помыла не только окна, но и зеркала.",Коля пошел в кино.,,,Младший племянник получил пазл.,"Рома любит комедии больше, чем триллеры.",Музыка играла на планшете.,,,Олег провел меньше времени за чтением статьи про освоение Марса.,Цветы в гостиной - лилии.,Соната у Милы получается лучше.,,,Аня разложила обувь по коробкам.,У Светы не было достаточно мяса.,В гостиной нет зеленых стен.,,,Друзья сначала съели суши.,Леня поставил красный велосипед у входа.,Костя не пропылесосил спальню.,,,Соня раскрасила камни.,Маша пошла и купила еще шарфов.,Гости не похвалили кексы.,Ваня съел другие яблоки.,"Соня поставила в вазу розы, которые она собрала рано утром.","Иван помыл другие тарелки, которые уже были у него на кухне.","Наталья положила в салат другие помидоры, которые у нее уже были до этого.","Учительница разложила папки, которые она собрала у класса.","Карина надела другие варежки, которые у нее были.","Ася вернула другие книги, которые пора было сдавать.","Катя нарисовала листья, которые она собрала днем.","Лена съела другие персики, которые у нее были.",Олег использовал другие гвозди.,"Алексей продемонстрировал роботов, которые ребята сделали на мастер-классе.","Ребята раскрасили другие подсвечники, которые были в мастерской.",Жена постирала другие одеяла.,"Марина упаковала печенья, которые она испекла.",Яна приготовила другие кабачки.,"Оля зажгла другие свечи, которые у нее уже были.",Только на русском,Только на русском,3030,,,2924,,3186,2336,,,2174,3122,,,1797,2068,,,2270,2069,,,2442,2002,,,2468,2268,,,3431,2277,,
